Case_no,checking_status,credit_history,purpose,credit_amount,saving_status,employment,personal_status,age,job,class
141,3,1,3,709,3,4,3,27.0,3,0
142,1,1,0,4795,1,4,1,30.0,2,0
143,0,1,0,3416,1,1,0,27.0,2,0
144,0,1,2,2462,1,1,0,22.0,0,1
145,2,0,2,2288,1,4,1,23.0,0,0
146,1,4,5,3566,4,2,0,30.0,0,0
147,0,0,3,860,1,0,1,39.0,0,0
148,2,0,3,682,4,2,1,51.0,0,0
149,0,0,2,5371,1,1,0,28.0,0,0
150,2,0,0,1582,3,0,0,46.0,0,0
151,2,1,0,1346,4,0,0,42.0,0,0
152,2,1,0,1924,1,1,0,38.0,0,0
153,3,1,0,5848,1,1,0,24.0,0,0
154,1,0,4,7758,3,0,1,29.0,0,0
155,1,2,5,6967,4,2,0,36.0,2,0
156,0,1,2,1282,1,1,1,20.0,0,1
157,0,0,7,1288,4,0,0,48.0,0,0
158,0,4,9,339,1,0,3,45.0,1,0
159,1,1,3,3512,4,2,0,38.0,0,0
160,2,0,0,1898,0,1,0,34.0,1,0
161,2,0,0,2872,4,0,0,36.0,0,0
162,2,0,3,1055,1,4,1,30.0,0,0
163,2,1,6,1262,2,2,0,36.0,0,0
164,1,1,3,7308,1,3,0,70.0,2,0
165,2,1,3,909,2,0,0,36.0,0,0
166,2,1,2,2978,2,1,0,32.0,0,0
167,0,1,2,1131,1,3,1,33.0,0,1
168,1,1,2,1577,3,4,1,20.0,0,0
169,2,1,2,3972,1,2,1,25.0,0,0
170,1,0,5,1935,1,0,2,31.0,0,1
171,0,3,3,950,1,0,0,33.0,0,1
172,2,1,2,763,1,1,1,26.0,0,0
173,1,2,2,2064,1,3,1,34.0,2,1
174,1,1,0,1414,1,1,0,35.59251769464105,0,0
175,0,2,1,3414,1,4,0,26.0,0,1
176,2,4,4,7485,0,3,1,53.0,2,1
177,0,1,2,2577,1,1,2,42.0,0,0
178,0,0,0,338,2,0,0,52.0,0,0
179,2,1,0,1963,1,2,0,31.0,2,0
180,0,0,3,571,1,0,0,65.0,0,0
181,2,2,5,9572,1,4,2,28.0,0,1
182,1,2,5,4455,1,1,2,30.0,2,1
183,0,4,3,1647,0,1,0,40.0,1,1
184,2,0,2,3777,3,1,0,50.0,0,0
185,1,0,3,884,1,0,0,36.0,0,1
186,2,0,0,1360,1,1,0,31.0,0,0
187,1,4,4,5129,1,0,1,74.0,2,1
188,1,0,3,1175,1,3,0,68.0,3,0
189,0,1,0,674,4,2,3,20.0,0,1
190,1,3,2,3244,1,1,1,33.0,0,0
191,2,1,5,4591,3,1,0,54.0,2,1
192,1,3,5,3844,4,2,0,35.59251769464105,1,1
193,1,1,5,3915,1,1,0,36.0,0,1
194,2,1,0,2108,1,2,3,29.0,0,0
195,1,1,0,3031,4,1,0,21.0,0,1
196,1,0,1,1501,1,0,1,34.0,2,1
197,2,0,0,1382,1,1,1,28.0,0,0
198,1,1,2,951,4,4,1,27.0,0,1
199,1,1,4,2760,0,0,0,36.0,0,0
200,1,2,2,4297,1,0,2,40.0,2,1
201,2,0,1,936,2,0,0,52.0,0,0
202,0,1,3,1168,1,1,3,27.0,1,0
203,2,2,5,5117,1,2,0,26.0,0,0
204,0,1,9,902,1,2,3,21.0,0,1
205,2,0,3,1495,1,0,0,38.0,1,0
206,0,0,4,10623,1,0,0,38.0,2,0
207,2,0,2,1935,1,0,0,43.0,0,0
208,1,0,6,1424,1,2,0,26.0,0,0
209,0,1,5,6568,1,1,3,21.0,1,0
210,2,1,4,1413,3,2,0,55.0,0,0
211,2,0,0,3074,0,1,0,33.0,0,0
212,2,1,0,3835,0,0,1,45.0,1,0
213,0,3,5,5293,1,3,0,50.0,0,1
214,3,2,5,1908,1,0,0,66.0,2,1
215,2,0,0,3342,0,0,0,51.0,0,0
216,1,0,9,932,0,2,1,39.0,1,0
217,0,3,5,3104,1,2,0,31.0,0,0
218,3,1,0,3913,1,1,0,23.0,0,0
219,0,1,2,3021,1,1,2,24.0,1,0
220,2,1,3,1364,1,1,1,64.0,0,0
221,1,1,0,625,1,4,3,26.0,1,0
222,0,1,1,1200,0,1,1,23.0,0,0
223,2,1,0,707,1,1,0,30.0,0,0
224,2,2,5,2978,0,1,0,32.0,0,0
225,2,1,4,4657,1,1,0,30.0,0,0
226,2,3,7,2613,1,1,0,27.0,0,0
227,1,1,0,10961,3,2,0,27.0,0,1
228,0,1,2,7865,1,0,0,53.0,2,1
229,2,1,0,1478,1,2,0,22.0,0,1
230,0,1,2,3149,1,4,0,22.0,0,0
231,3,1,0,4210,1,1,0,26.0,0,1
232,2,1,3,2507,2,0,0,51.0,1,0
233,2,1,0,2141,4,2,0,35.59251769464105,0,0
234,1,1,0,866,1,1,3,25.0,1,0
235,2,0,0,1544,1,2,0,42.0,1,0
236,0,1,0,1823,1,3,0,30.0,2,1
237,1,1,3,14555,0,3,0,23.0,3,1
238,1,1,5,2767,4,0,2,61.0,1,1
239,2,0,0,1291,1,1,1,35.0,0,0
240,0,1,0,2522,1,0,0,39.0,0,0
241,0,1,3,915,0,0,1,29.0,0,1
242,2,1,0,1595,1,2,0,51.0,0,0
243,0,3,4,4605,1,0,0,24.0,0,1
244,2,0,5,1185,1,1,1,27.0,0,0
245,2,4,9,3447,2,1,1,35.0,1,0
246,2,1,5,1258,1,2,0,25.0,0,0
247,2,0,0,717,1,0,0,52.0,0,0
248,2,3,3,1204,4,1,0,35.0,0,0
249,3,1,2,1925,1,1,0,26.0,0,0
250,2,1,0,433,1,3,1,22.0,0,1
251,0,0,3,666,3,2,1,39.0,1,0
252,3,1,2,2251,1,1,1,46.0,1,0
253,1,1,3,2150,1,1,1,24.0,0,1
254,2,2,2,4151,4,1,0,35.0,0,0
255,1,1,2,2030,0,2,0,24.0,0,0
256,1,2,0,7418,0,1,0,27.0,1,0
257,2,0,0,2684,1,1,0,35.0,1,0
258,0,4,0,2149,1,1,2,29.0,0,1
259,2,1,4,3812,4,4,1,23.0,0,0
260,2,0,0,1154,4,3,1,57.0,1,0
261,0,1,2,1657,1,1,0,27.0,0,0
262,0,1,0,1603,1,0,1,55.0,0,0
263,0,0,3,5302,1,0,0,36.0,2,0
264,2,0,1,2748,1,0,1,57.0,1,0
265,2,0,3,1231,1,0,0,32.0,1,0
266,1,1,0,802,1,0,0,37.0,0,1
267,2,0,5,6304,0,0,0,36.0,0,0
268,2,1,0,1533,1,4,1,38.0,0,0
269,0,1,3,8978,1,0,2,45.0,2,1
270,2,1,0,999,0,0,0,25.0,0,0
271,2,1,3,2662,0,2,0,32.0,0,0
272,2,0,2,1402,2,2,1,37.0,0,0
273,1,4,3,12169,0,3,0,36.0,2,0
274,1,1,0,3060,1,2,0,28.0,0,1
275,0,1,7,11998,1,4,2,34.0,1,1
276,2,1,0,2697,1,1,0,32.0,0,0
277,2,0,0,2404,1,1,1,26.0,0,0
278,0,1,2,1262,0,0,2,49.0,1,0
279,2,1,2,4611,1,4,1,32.0,0,1
280,2,1,0,1901,4,1,0,35.59251769464105,2,0
281,2,0,4,3368,3,0,0,23.0,0,0
282,2,1,2,1574,1,1,0,50.0,0,0
283,3,4,0,1445,0,2,0,49.0,1,0
284,2,0,2,1520,0,0,0,63.0,0,0
285,1,0,3,3878,4,4,2,37.0,0,0
286,0,1,3,10722,1,4,1,35.0,1,0
287,0,1,4,4788,1,2,0,26.0,0,0
288,1,2,8,7582,4,3,0,31.0,2,0
289,1,1,0,1092,1,1,1,49.0,0,0
290,0,2,0,1024,1,4,3,48.0,0,1
291,2,1,5,1076,1,1,3,26.0,0,0
292,1,1,4,9398,1,4,3,28.0,2,1
293,0,0,4,6419,1,0,1,44.0,2,0
294,3,0,4,4796,1,0,0,56.0,0,0
295,2,0,5,7629,0,0,2,46.0,2,0
296,1,1,2,9960,1,4,1,26.0,0,1
297,2,1,4,4675,0,4,1,20.0,0,0
298,2,1,3,1287,0,0,0,45.0,1,0
299,2,1,2,2515,1,1,0,43.0,0,0
300,1,0,2,2745,3,2,0,32.0,0,0
301,2,1,3,672,1,3,1,54.0,3,0
302,1,3,0,3804,1,1,1,42.0,0,1
303,3,0,3,1344,0,2,0,37.0,1,1
304,0,0,3,1038,1,2,0,49.0,0,0
305,2,0,3,10127,2,1,0,35.59251769464105,0,1
306,2,1,2,1543,3,1,2,33.0,0,0
307,2,1,4,4811,0,2,1,24.0,1,0
308,0,1,0,727,4,4,3,33.0,1,1
309,1,1,2,1237,1,1,1,24.0,0,1
310,1,1,3,276,1,1,3,22.0,1,0
311,1,1,8,5381,0,3,0,40.0,3,0
312,2,1,2,5511,4,1,0,25.0,0,0
313,3,1,2,3749,1,4,1,26.0,0,0
314,1,1,3,685,1,2,3,25.0,1,1
315,3,1,3,1494,0,4,0,29.0,1,0
316,0,4,2,2746,1,0,0,31.0,0,1
317,0,1,2,708,1,1,0,38.0,1,0
318,1,1,2,4351,0,1,1,48.0,1,0
319,2,0,1,701,1,1,0,32.0,0,0
320,0,2,2,3643,1,0,1,27.0,1,0
321,1,0,3,4249,1,3,3,28.0,2,1
322,0,1,0,1938,1,4,2,32.0,0,1
323,0,1,4,2910,1,2,0,34.0,2,0
324,0,1,2,2659,3,1,0,28.0,0,0
325,2,0,3,1028,1,1,1,36.0,0,0
326,0,0,3,3398,1,2,0,39.0,1,0
327,2,0,2,5801,0,0,0,49.0,0,0
328,2,1,3,1525,3,2,1,34.0,0,0
329,3,1,0,4473,1,0,0,31.0,0,0
330,1,1,0,1068,1,0,0,28.0,0,0
331,0,0,4,6615,1,3,0,75.0,2,0
332,2,0,1,1864,4,1,1,30.0,0,1
333,1,1,3,7408,4,4,1,35.59251769464105,2,1
334,2,0,4,11590,4,1,1,24.0,1,1
335,0,3,2,4110,1,0,0,23.0,0,1
336,0,0,2,3384,1,1,2,44.0,2,1
337,1,1,0,2101,1,4,1,23.0,1,0
338,0,1,6,1275,0,1,1,24.0,0,1
339,0,1,2,4169,1,1,0,28.0,0,0
340,1,1,2,1521,1,1,2,31.0,1,0
341,1,0,1,5743,1,4,1,24.0,0,0
342,0,1,2,3599,1,2,1,26.0,1,0
343,1,1,0,3213,2,4,3,25.0,0,0
344,1,1,5,4439,1,0,0,33.0,2,0
345,3,1,3,3949,1,4,0,37.0,1,0
346,2,0,0,1459,1,1,1,43.0,1,0
347,1,0,0,882,1,4,0,23.0,0,0
348,1,1,0,3758,2,3,1,23.0,3,0
349,2,2,5,1743,4,1,0,34.0,1,0
350,1,0,1,1136,3,0,0,32.0,0,1
351,2,1,6,1236,1,4,1,23.0,0,0
352,1,1,2,959,1,1,1,29.0,0,1
353,2,0,4,3229,0,3,0,38.0,2,0
354,0,3,0,6199,1,1,0,28.0,0,1
355,2,1,1,727,2,0,0,46.0,0,0
356,1,1,3,1246,1,4,0,23.0,1,1
357,2,0,0,2331,0,0,0,49.0,0,0
358,2,2,0,4463,1,1,0,26.0,2,1
359,2,1,0,776,1,1,3,28.0,0,0
360,0,1,2,2406,1,2,1,23.0,0,1
361,1,1,1,1239,0,1,0,61.0,0,0
362,3,1,0,3399,0,0,0,37.0,2,0
363,3,2,3,2247,1,1,1,36.0,0,0
364,2,1,2,1766,1,1,3,21.0,0,0
365,0,1,2,2473,1,3,0,25.0,3,1
366,2,1,5,1542,1,2,0,36.0,0,0
367,2,0,4,3850,1,2,0,27.0,0,0
368,0,1,2,3650,1,4,1,22.0,0,0
369,0,1,2,3446,1,0,0,42.0,0,1
370,1,1,2,3001,1,2,1,40.0,0,0
371,2,1,3,3079,0,1,0,36.0,0,0
372,2,0,0,6070,1,0,0,33.0,0,0
373,2,0,2,2146,1,4,1,23.0,0,0
374,2,0,3,13756,0,0,0,63.0,2,0
375,1,4,8,14782,4,0,1,60.0,2,1
376,0,4,5,7685,1,2,1,37.0,0,1
377,2,2,0,2320,1,3,3,34.0,0,0
378,2,2,0,846,0,0,0,36.0,0,0
379,1,1,3,14318,1,0,0,57.0,2,1
380,2,0,3,362,4,1,1,52.0,1,0
381,0,1,2,2212,0,2,0,39.0,0,0
382,1,1,4,12976,1,3,1,38.0,2,1
383,2,1,3,1283,0,2,1,25.0,0,0
384,3,1,3,1330,1,4,0,26.0,0,0
385,2,2,5,4272,4,1,0,26.0,1,0
386,2,0,0,2238,1,1,1,25.0,0,0
387,2,1,0,1126,0,4,1,21.0,0,0
388,1,0,2,7374,1,3,0,40.0,2,0
389,1,0,5,2326,2,1,0,27.0,0,0
390,2,1,5,1449,1,2,1,27.0,0,0
391,2,1,3,1820,1,1,3,30.0,2,0
392,1,1,2,983,3,4,1,19.0,1,0
393,0,1,3,3249,1,2,0,39.0,2,0
394,0,0,0,1957,1,2,1,31.0,0,0
395,2,0,2,2406,1,3,0,31.0,2,0
396,1,2,1,11760,4,2,0,32.0,0,0
397,0,1,2,2578,1,3,1,55.0,2,0
398,0,0,2,2348,1,1,3,46.0,0,0
399,1,1,3,1223,1,0,2,46.0,0,1
400,2,0,0,1516,3,1,1,43.0,1,0
401,2,1,0,1473,1,4,3,39.0,0,0
402,1,0,5,1887,0,1,3,28.0,0,0
403,2,2,5,8648,1,4,0,27.0,0,1
404,2,2,3,802,1,1,0,27.0,1,0
405,1,2,3,2899,0,0,0,43.0,0,0
406,1,1,0,2039,1,4,3,22.0,0,1
407,2,0,4,2197,0,2,0,43.0,0,0
408,0,1,0,1053,1,4,3,27.0,0,0
409,2,1,0,3235,2,0,2,26.0,2,0
410,3,0,3,939,2,2,3,28.0,0,1
411,1,1,0,1967,1,0,1,20.0,0,0
412,2,0,4,7253,1,2,0,35.0,2,0
413,2,0,5,2292,1,3,0,42.0,2,1
414,2,1,3,1597,2,1,0,40.0,1,0
415,0,1,3,1381,0,1,1,35.0,0,1
416,2,0,4,5842,1,0,0,35.0,0,0
417,0,1,3,2579,1,4,0,33.0,1,1
418,0,2,1,8471,0,1,1,23.0,0,0
419,2,1,3,2782,2,2,1,31.0,2,0
420,1,1,3,1042,0,1,1,33.0,0,1
421,2,1,3,3186,3,2,1,20.0,0,0
422,1,1,4,2028,0,1,0,30.0,0,0
423,1,0,3,958,1,2,0,47.0,1,0
424,2,2,2,1591,4,2,0,34.0,2,0
425,1,1,2,2762,0,0,1,25.0,0,1
426,1,1,4,2779,1,1,3,21.0,0,0
427,2,0,0,2743,1,0,0,29.0,0,0
428,2,0,0,1149,3,1,0,46.0,0,0
429,2,1,2,1313,1,0,0,20.0,0,0
430,0,0,7,1190,1,3,1,55.0,3,1
431,2,1,5,3448,1,2,0,74.0,1,0
432,1,1,8,111328000,1,1,0,29.0,2,1
433,0,0,2,1872,1,3,0,36.0,2,0
434,2,0,7,2058,1,1,2,33.0,0,0
435,0,1,2,2136,1,1,0,25.0,0,0
436,1,1,0,1484,0,1,3,25.0,0,1
437,2,1,7,660,2,2,3,23.0,1,0
438,2,0,3,1287,3,0,1,37.0,0,0
439,0,0,7,3394,1,3,0,65.0,3,0
440,3,4,5,609,1,4,1,26.0,3,1
441,2,1,3,1884,1,0,0,39.0,2,0
442,0,1,2,1620,1,1,1,30.0,0,0
443,1,2,8,2629,1,1,0,29.0,0,0
444,2,1,1,7190000,1,0,0,41.0,1,1
445,1,0,2,5096,1,1,1,30.0,2,1
446,2,0,1,1244,0,0,1,41.0,1,0
447,0,1,3,1842,1,4,1,34.0,0,1
448,1,1,0,2576,1,1,0,35.59251769464105,0,0
449,3,1,2,1424,0,0,1,55.0,2,0
450,1,2,7,1512,3,1,3,61.0,0,1
451,2,0,4,11054,0,1,0,30.0,2,0
452,2,1,0,5180000,1,1,1,29.0,0,0
453,2,3,2,2759,1,0,0,34.0,0,0
454,2,1,4,2670,1,0,0,35.0,2,0
455,0,1,3,4817,1,2,0,31.0,0,1
456,2,1,4,2679,1,4,1,29.0,2,0
457,0,0,3,3905,1,1,0,36.0,0,0
458,0,1,4,3386,1,0,0,35.0,0,1
459,0,1,6,343,1,4,1,27.0,0,0
460,2,1,0,4594,1,4,0,32.0,0,0
461,0,1,2,3620,1,1,0,37.0,0,0
462,0,1,3,1721,1,4,0,36.0,0,0
463,1,1,2,3017,1,4,1,34.0,2,0
464,1,1,9,754,0,0,0,38.0,0,0
465,2,1,5,1950,1,2,0,34.0,0,0
466,0,1,4,2924,1,1,0,63.0,0,0
467,0,2,0,1659,1,4,1,29.0,1,1
468,2,2,0,7238,0,0,0,32.0,0,0
469,2,2,5,2764,1,1,1,26.0,0,0
470,2,2,4,4679,1,2,0,35.0,1,0
471,1,1,0,3092,4,4,3,22.0,0,1
472,0,1,1,448,1,4,1,23.0,0,1
473,0,1,3,654,1,1,0,28.0,1,1
474,2,1,9,1238,0,3,0,36.0,2,0
475,1,0,0,1245,1,1,3,33.0,0,1
476,0,3,2,3114,1,4,1,26.0,0,1
477,2,1,4,2569,2,1,0,24.0,0,0
478,3,1,0,5152,1,2,0,25.0,0,0
479,1,1,5,1037,4,2,0,39.0,1,0
480,0,0,2,1478,1,0,0,44.0,0,0
481,1,0,0,3573,1,1,1,23.0,1,0
482,1,1,3,1201,1,4,0,26.0,0,0
483,0,1,2,3622,3,0,1,57.0,0,0
484,2,2,2,960,3,2,1,30.0,0,0
485,2,0,3,1163,2,1,0,44.0,0,0
486,1,2,3,1209,1,3,0,47.0,2,1
487,2,1,0,3077,1,1,0,52.0,0,0
488,2,1,3,3757,1,0,1,62.0,0,0
489,2,1,3,1418,4,1,0,35.0,1,0
490,2,1,3,3518,1,1,0,26.0,0,0
491,2,0,0,1934,1,0,0,26.0,0,0
492,1,3,5,8318,1,0,1,42.0,2,1
493,2,0,0,1237,4,1,1,27.0,0,0
494,1,1,0,368,0,0,0,38.0,0,0
495,0,0,3,2122,1,1,0,39.0,1,0
496,0,1,2,2996,0,1,3,20.0,0,1
497,1,1,2,9034,4,4,0,29.0,2,1
498,2,0,2,1585,1,2,0,40.0,0,0
499,1,1,0,1301,1,0,3,32.0,1,0
500,3,0,3,1323,4,0,2,28.0,0,0
501,0,1,3,3123,1,4,1,27.0,0,1
502,0,1,4,5493,1,0,0,42.0,0,0
503,3,1,0,1126,4,0,2,49.0,0,0
504,1,0,0,1216,4,4,0,38.0,0,1
505,0,1,3,1207,1,4,1,24.0,0,1
506,2,1,3,1309,0,1,0,27.0,1,1
507,3,0,4,2360,2,1,0,36.0,0,0
508,1,4,3,6850,4,3,0,34.0,2,1
509,2,1,0,1413,1,1,3,28.0,0,0
510,2,1,4,8588,4,0,0,45.0,2,0
511,0,1,3,759,1,2,0,26.0,0,1
512,2,1,4,4686,1,1,0,32.0,2,0
513,3,1,5,2687,1,2,0,26.0,0,0
514,1,2,0,5850000,1,1,3,20.0,0,0
515,2,1,3,2255,0,4,0,54.0,0,0
516,0,0,3,609,1,2,1,37.0,0,0
517,0,0,3,1361,1,4,0,40.0,1,0
518,2,0,2,7127,1,4,1,23.0,0,1
519,0,1,3,1203,4,0,0,43.0,0,0
520,2,0,0,700,0,0,0,36.0,0,0
521,2,0,7,5507,1,0,0,44.0,0,0
522,0,1,0,3190,1,1,1,24.0,0,1
523,0,3,2,7119,1,1,0,53.0,0,1
524,2,1,4,3488,4,2,1,23.0,0,0
525,1,1,0,1113,1,1,1,26.0,1,0
526,1,1,4,7966,1,4,0,30.0,0,0
527,2,0,1,1532,4,1,1,31.0,0,0
528,2,0,0,1503,1,2,0,42.0,1,0
529,0,1,0,2302,1,1,2,31.0,0,1
530,0,1,3,662,1,4,0,41.0,1,0
531,1,1,1,2273,1,2,0,32.0,0,0
532,1,1,3,2631,4,1,1,28.0,0,1
533,2,2,4,1503,1,1,3,41.0,0,0
534,2,1,0,1311,4,2,3,26.0,0,0
535,2,1,0,3105,0,4,0,25.0,0,0
536,3,0,1,2319,1,4,2,33.0,0,1
537,0,1,3,1374,0,3,1,75.0,2,0
538,1,0,2,3612,1,0,1,37.0,0,0
539,0,1,3,7763,1,0,0,42.0,2,1
540,3,1,2,3049,1,4,1,45.0,1,0
541,1,1,0,1534,1,4,3,23.0,0,1
542,2,2,3,2032,1,0,0,60.0,0,0
543,0,1,2,6350,0,0,0,31.0,0,1
544,3,1,2,2864,1,1,0,34.0,1,1
545,2,0,3,1255,1,0,0,61.0,1,0
546,0,2,3,1333,1,3,0,43.0,0,1
547,2,0,3,2022,1,1,1,37.0,0,0
548,2,1,0,1552,1,2,0,32.0,0,0
549,0,4,0,626,1,1,1,24.0,1,1
550,2,0,4,8858,0,2,0,35.0,0,0
551,2,0,7,996,0,2,1,23.0,0,0
552,2,4,0,1750,2,0,0,45.0,1,0
553,0,1,0,6999,1,2,3,34.0,0,1
554,1,0,3,1995,4,4,0,27.0,0,0
555,1,1,1,1199,1,2,1,67.0,2,0
556,1,1,0,1331,1,4,0,22.0,0,1
557,1,3,3,2278,4,4,1,28.0,0,1
